datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-10-31 19:40:00,MSFT,409.72,410.44,409.65,410.11,339474.0,410.0869,8052
2024-10-31 19:45:00,MSFT,410.13,411.22,410.09,411.05,439829.0,410.7247,9828
2024-10-31 19:50:00,MSFT,411.08,411.12,407.51,407.71,1113820.0,409.3642,25257
2024-10-31 19:55:00,MSFT,407.75,407.96,406.3,406.31,2768286.0,407.1945,48211
2024-10-31 20:00:00,MSFT,406.35,407.6,406.3,407.32,1083122.0,406.3847,1309
2024-10-31 20:05:00,MSFT,407.2739,407.32,406.35,407.1,449273.0,406.3879,1307
2024-10-31 20:10:00,MSFT,407.1,407.1,406.35,406.86,39372.0,406.9002,1004
2024-10-31 20:15:00,MSFT,406.9,407.8842,406.8501,407.8,25806.0,407.5235,750
2024-10-31 20:20:00,MSFT,407.75,407.88,407.2,407.4214,25196.0,407.5859,728
2024-10-31 20:25:00,MSFT,407.49,407.63,407.3281,407.4,14441.0,407.399,540
2024-10-31 20:30:00,MSFT,407.35,407.9771,407.3,407.3,20459.0,407.5103,755
2024-10-31 20:35:00,MSFT,407.55,407.69,407.3,407.5,9933.0,407.3951,421
2024-10-31 20:40:00,MSFT,407.4985,407.8,407.4985,407.7995,9326.0,407.6784,463
2024-10-31 20:45:00,MSFT,407.75,407.9541,406.35,407.9,18579.0,406.8204,409
2024-10-31 20:50:00,MSFT,407.97,408.3626,407.9,408.01,29821.0,408.0646,454
2024-10-31 20:55:00,MSFT,408.05,408.2001,406.35,408.2,16834.0,407.2652,400
2024-10-31 21:00:00,MSFT,408.3,408.37,408.2,408.2,316574.0,406.381,322
2024-10-31 21:05:00,MSFT,408.4,408.4,408.3085,408.3085,3664.0,408.3749,292
2024-10-31 21:10:00,MSFT,408.5,408.87,408.4999,408.69,7121.0,408.6468,352
2024-10-31 21:15:00,MSFT,408.6086,408.83,408.5742,408.7,3299.0,408.6692,268
2024-10-31 21:20:00,MSFT,408.7,408.76,408.4,408.4,7692.0,408.6643,426
2024-10-31 21:25:00,MSFT,408.2882,408.4,408.0,408.02,9663.0,408.0721,380
2024-10-31 21:30:00,MSFT,408.2,408.3,408.0425,408.3,6850.0,408.012,272
2024-10-31 21:35:00,MSFT,408.31,408.6919,408.31,408.6919,3910.0,408.565,179
2024-10-31 21:40:00,MSFT,408.7,408.8,408.69,408.69,3708.0,408.7236,257
2024-10-31 21:45:00,MSFT,408.7,408.95,408.65,408.95,7281.0,408.7922,254
2024-10-31 21:50:00,MSFT,408.969,409.1,408.65,409.1,11939.0,408.9814,300
2024-10-31 21:55:00,MSFT,409.4,409.8,409.3,409.8,5865.0,409.4919,306
2024-10-31 22:00:00,MSFT,409.7913,409.7913,409.35,409.6,7125.0,409.4566,259
2024-10-31 22:05:00,MSFT,409.6976,409.7877,409.35,409.48,8783.0,409.6551,404
2024-10-31 22:10:00,MSFT,409.675,409.7,409.5115,409.5115,2516.0,409.6401,177
2024-10-31 22:15:00,MSFT,409.7,409.71,409.7,409.7,5922.0,409.7067,253
2024-10-31 22:20:00,MSFT,409.69,409.8,409.5971,409.8,4698.0,409.7043,214
2024-10-31 22:25:00,MSFT,409.83,409.83,409.61,409.76,3050.0,409.7456,192
2024-10-31 22:30:00,MSFT,409.65,409.88,409.5564,409.5564,5743.0,409.7432,232
2024-10-31 22:35:00,MSFT,409.88,409.88,409.8799,409.8799,779.0,409.7906,78
